,Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,cluster
21,21,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",4,0,Kettlebells,2,7.7,Average,0
22,22,Kettlebell Pass Between The Legs,,4,0,Kettlebells,0,7.3,Average,0
23,23,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",4,0,Kettlebells,2,0.0,,0
24,24,Double Kettlebell Swing,,4,0,Kettlebells,2,6.535575221238938,,0
25,25,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",4,0,Kettlebells,2,6.535575221238938,,0
26,26,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",4,0,Kettlebells,2,6.535575221238938,,0
27,27,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",4,0,Kettlebells,2,6.535575221238938,,0
28,28,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",4,0,Kettlebells,2,6.535575221238938,,0
29,29,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",4,0,Kettlebells,2,6.535575221238938,,0
30,30,Taylor Single-Arm Kettlebell Swing,,4,0,Kettlebells,2,6.535575221238938,,0
31,31,Holman Kettlebell Up to Elbow Down,,4,0,Kettlebells,2,6.535575221238938,,0
32,32,FYR2 Double-Kettlebell Ski,,4,0,Kettlebells,2,6.535575221238938,,0
33,33,FYR2 Kettlebell Hike,,4,0,Kettlebells,2,6.535575221238938,,0
34,34,FYR2 Kettlebell Cross-Body Catch,,4,0,Kettlebells,2,6.535575221238938,,0
35,35,FYR2 Kettlebell Duck Walk,,4,0,Kettlebells,2,6.535575221238938,,0
36,36,FYR2 Kettlebell Get-Up Reach,,4,0,Kettlebells,2,6.535575221238938,,0
37,37,FYR2 Kettlebell Juggle,,4,0,Kettlebells,2,6.535575221238938,,0
38,38,FYR2 Squat-Clean-Alternating-Press Complex,,4,0,Kettlebells,2,6.535575221238938,,0
39,39,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",4,0,Dumbbell,2,9.3,Average,0
40,40,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",4,0,Dumbbell,0,9.3,Average,0
41,41,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",4,0,Dumbbell,2,8.6,Average,0
42,42,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",4,0,Dumbbell,2,6.535575221238938,,0
43,43,Dumbbell Fix Dumbbell Sprawl,,4,0,Dumbbell,2,6.535575221238938,,0
44,44,Dumbbell Fix Alternating Renegade Row,,4,0,Dumbbell,2,6.535575221238938,,0
45,45,Dumbbell Fix Dumbbell Mountain Climber,,4,0,Dumbbell,2,6.535575221238938,,0
46,46,Dumbbell Fix Dumbbell Russian Twist,,4,0,Dumbbell,2,6.535575221238938,,0
47,47,Dumbbell Fix Dumbbell Pull-Over,,4,0,Dumbbell,2,6.535575221238938,,0
48,48,Dumbbell Fix Dumbbell Sit-Up,,4,0,Dumbbell,2,6.535575221238938,,0
49,49,Dumbbell Fix Dumbbell Front Squat,,4,0,Dumbbell,2,6.535575221238938,,0
50,50,Dumbbell Fix Full Man Maker,,4,0,Dumbbell,2,6.535575221238938,,0
51,51,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",4,0,Dumbbell,2,6.535575221238938,,0
52,52,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,4,0,Dumbbell,2,6.535575221238938,,0
53,53,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",4,0,Dumbbell,2,6.535575221238938,,0
54,54,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",4,0,Dumbbell,2,6.535575221238938,,0
55,55,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",4,0,Dumbbell,2,6.535575221238938,,0
56,56,HM Alternating Dumbbell Plank Row,,4,0,Dumbbell,2,6.535575221238938,,0
57,57,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,4,0,Dumbbell,2,6.535575221238938,,0
58,58,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,4,0,Dumbbell,2,6.535575221238938,,0
59,59,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",4,0,Dumbbell,2,6.535575221238938,,0
60,60,30 Hanging Leg Raise With Dumbbell,,4,0,Dumbbell,2,6.535575221238938,,0
61,61,Dumbbell Get-Up Sit-Up,,4,0,Dumbbell,1,8.371428571428572,,0
62,62,Holman Right Side Plank with Left Triceps Press,,4,0,Dumbbell,2,6.535575221238938,,0
63,63,Holman Left Side Plank with Right Triceps Press,,4,0,Dumbbell,2,6.535575221238938,,0
64,64,Holman Boat with Feet Push-Out and Overhead Press,,4,0,Dumbbell,2,6.535575221238938,,0
65,65,Holman Hovering Plank Row,,4,0,Dumbbell,2,6.535575221238938,,0
66,66,Holman Weighted Seated Killer Abs to Russian Twist,,4,0,Dumbbell,2,6.535575221238938,,0
67,67,Holman Straight Plank Dumbbell Reach-Under,,4,0,Dumbbell,2,6.535575221238938,,0
68,68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,,4,0,Dumbbell,2,6.535575221238938,,0
69,69,Holman Weighted Burpee to Pike,,4,0,Dumbbell,2,6.535575221238938,,0
70,70,Holman Straight-Legged Boat Chest Press,,4,0,Dumbbell,2,6.535575221238938,,0
71,71,Holman Weighted Burpee to Side Delt Raise,,4,0,Dumbbell,2,6.535575221238938,,0
72,72,Holman Heavy Double Pike,,4,0,Dumbbell,2,6.535575221238938,,0
73,73,Holman Heavy Double Split Pike,,4,0,Dumbbell,2,6.535575221238938,,0
74,74,MetaBurn Alternating Dumbbell Sit-Through,,4,0,Dumbbell,2,6.535575221238938,,0
75,75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,,4,0,Dumbbell,2,6.535575221238938,,0
76,76,MetaBurn Alternating Plank Row With Push-Up,,4,0,Dumbbell,2,6.535575221238938,,0
77,77,MetaBurn Dumbbell Russian Twist,,4,0,Dumbbell,2,6.535575221238938,,0
78,78,MetaBurn Dumbbell Toe-Touch,,4,0,Dumbbell,2,6.535575221238938,,0
79,79,MetaBurn Plank To Alternating Row,,4,0,Dumbbell,2,6.535575221238938,,0
80,80,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",4,0,Dumbbell,2,6.535575221238938,,0
81,81,MetaBurn Plank With Dumbbell Rotation,,4,0,Dumbbell,2,6.535575221238938,,0
82,82,FYR2 Dumbbell Crab Reach,,4,0,Dumbbell,2,6.535575221238938,,0
83,83,FYR2 Dumbbell Man-Maker,,4,0,Dumbbell,2,6.535575221238938,,0
84,84,FYR2 Dumbbell Sit-Up Reach,,4,0,Dumbbell,2,6.535575221238938,,0
85,85,FYR2 Loaded Beast Sprawl,,4,0,Dumbbell,2,6.535575221238938,,0
86,86,FYR2 Loaded to Unloaded Beast,,4,0,Dumbbell,2,6.535575221238938,,0
87,87,Lying Leg Pullover,,4,0,Dumbbell,2,6.535575221238938,,0
88,88,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",4,0,Other,2,9.5,Average,0
89,89,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",4,0,Other,2,9.3,Average,0
90,90,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",4,0,Other,2,9.2,Average,0
91,91,Plate Twist,,4,0,Other,0,9.0,Average,0
92,92,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",4,0,Other,2,8.9,Average,0
93,93,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",4,0,Other,2,8.9,Average,0
94,94,Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",4,0,Other,2,8.8,Average,0
95,95,Captain's chair knee raise,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",4,0,Other,2,8.6,Average,0
96,96,Sledgehammer swing,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.,2,0,Other,2,8.6,Average,0
97,97,Decline bar press sit-up,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",4,0,Barbell,2,8.5,Average,0
98,98,Pallof press,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body.",4,0,Other,2,8.4,Average,0
99,99,Weighted Sit-Ups - With Bands,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",4,0,Other,2,8.0,Average,0
100,100,Suitcase crunch,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.",4,0,Other,2,0.0,Average,0
101,101,FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",4,0,Other,2,6.535575221238938,,0
102,102,Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",4,0,Other,2,6.535575221238938,,0
103,103,Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",4,0,Other,2,6.535575221238938,,0
104,104,Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",4,0,Other,2,6.535575221238938,,0
105,105,Shoulder-Elevated One-Leg Hip Thrusts,,4,0,Other,2,6.535575221238938,,0
106,106,Ab Twist - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",4,0,Other,2,6.535575221238938,,0
107,107,Weighted Crunch - Gethin Variation,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",4,0,Other,2,6.535575221238938,,0
108,108,Ab Wheel Roll-Out - Gethin Variation,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",4,0,Other,2,6.535575221238938,,0
109,109,Bench crunch,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",4,0,Other,2,6.535575221238938,,0
110,110,Decline plate sit-up twist,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",4,0,Other,2,6.535575221238938,,0
111,111,Reverse ab roll-out,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",4,0,Other,2,6.535575221238938,,0
112,112,30 Seated Twist With PVC Pipe,The seated bar twist is a core exercise aiming to strengthen the obliques.,4,0,Other,2,6.535575221238938,,0
113,113,Suspended crunch-,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",4,0,Other,2,6.535575221238938,,0
114,114,Suspended oblique crunch,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",4,0,Other,2,6.535575221238938,,0
115,115,Weighted sit-up,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",4,0,Other,2,6.535575221238938,,0
116,116,30 Decline Press Sit-Up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,4,0,Other,2,6.535575221238938,,0
117,117,Holman Towel Reverse Plank Alternating Heel Pull-in,,4,0,Other,2,6.535575221238938,,0
118,118,Holman Boat with Weighted Cross Punch,,4,0,Other,2,6.535575221238938,,0
119,119,Holman Weighted Hook Punch,,4,0,Other,2,6.535575221238938,,0
120,120,Holman Weighted Traveling Punch,,4,0,Other,2,6.535575221238938,,0
121,121,Holman Weighted Uppercut Punch,,4,0,Other,2,6.535575221238938,,0
122,122,Holman Slow Weighted Double Pike,,4,0,Other,2,6.535575221238938,,0
123,123,Holman Plate Straight Plank Reach,,4,0,Other,2,6.535575221238938,,0
124,124,Holman Plate Elbow Plank Jack to Straight Plank Jack,,4,0,Other,2,6.535575221238938,,0
125,125,Holman Plate Hill Climber,,4,0,Other,2,6.535575221238938,,0
126,126,Holman Plate Reverse Plank Hill Climber,,4,0,Other,2,6.535575221238938,,0
127,127,Holman Plate Straight Plank Pike to Jack,,4,0,Other,2,6.535575221238938,,0
128,128,Holman Plate In-and-Out Push-Up,,4,0,Other,2,6.535575221238938,,0
129,129,Holman Plate Burpee,,4,0,Other,2,6.535575221238938,,0
130,130,Holman Plate Elbow Plank Reach,,4,0,Other,2,6.535575221238938,,0
131,131,Holman Elbow Plank to Renegade Row,,4,0,Other,2,6.535575221238938,,0
132,132,Holman Straight Plank Weighted Hand Hill Climber,,4,0,Other,2,6.535575221238938,,0
133,133,Holman Weighted Left Side Diagonal Pike,,4,0,Other,2,6.535575221238938,,0
134,134,Holman Weighted Right Side Diagonal Pike,,4,0,Other,2,6.535575221238938,,0
135,135,Holman Weighted W-Boat to Overhead Press,,4,0,Other,2,6.535575221238938,,0
136,136,Holman Weighted Kneeling Lift,,4,0,Other,2,6.535575221238938,,0
137,137,Holman Hips-Up Weighted Pull-Over,,4,0,Other,2,6.535575221238938,,0
138,138,Holman Weighted Cross Punch,,4,0,Other,2,6.535575221238938,,0
139,139,Holman Straight-Leg Boat Hover Chest Press,,4,0,Other,2,6.535575221238938,,0
140,140,Holman Weighted Pike,,4,0,Other,2,6.535575221238938,,0
141,141,Holman Feet-Elevated Wax-On Wax-Off,,4,0,Other,2,6.535575221238938,,0
142,142,Holman Elbow Plank to Towel Pike,,4,0,Other,2,6.535575221238938,,0
143,143,Holman Seated Killer Abs Overhead Press,,4,0,Other,2,6.535575221238938,,0
144,144,Holman Straight Plank Alternating Weighted Open,,4,0,Other,2,6.535575221238938,,0
145,145,Holman Weighted Killer Abs with Overhead Press,,4,0,Other,2,6.535575221238938,,0
146,146,Holman Weighted Split-Leg Pike,,4,0,Other,2,6.535575221238938,,0
147,147,Holman Towel Reverse Plank Heel Pull-in,,4,0,Other,2,6.535575221238938,,0
148,148,Stick Twist,,4,0,Other,2,6.535575221238938,,0
149,149,Roc Everest,,0,0,Other,2,6.535575221238938,,0
150,150,Standing cable low-to-high twist,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",4,0,Cable,2,9.3,Average,0
151,151,Single-arm high-cable side bend,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.,4,0,Cable,2,9.1,Average,0
152,152,Kneeling cable oblique crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.",4,0,Cable,2,9.0,Average,0
153,153,Kneeling cable crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",4,0,Cable,2,8.9,Average,0
154,154,Rope Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",4,0,Cable,2,8.6,Average,0
155,155,Standing cable crunch,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",4,0,Cable,2,8.6,Average,0
156,156,Bosu Ball Cable Crunch With Side Bends,,4,0,Cable,0,8.5,Average,0
157,157,Standing Cable Wood Chop,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.,4,0,Cable,2,8.2,Average,0
158,158,Cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",4,0,Cable,0,8.2,Average,0
159,159,Cable Russian Twists,,4,0,Cable,0,8.1,Average,0
