Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
KV Barbell Hip Thrust,,Strength,Abdominals,Barbell,Intermediate,,
Double Kettlebell Swing,,Strength,Abdominals,Kettlebells,Intermediate,,
Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Strength,Abdominals,Kettlebells,Intermediate,,
Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,,
Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,Kettlebells,Intermediate,,
Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Strength,Abdominals,Kettlebells,Intermediate,,
Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,,
Taylor Single-Arm Kettlebell Swing,,Strength,Abdominals,Kettlebells,Intermediate,,
Holman Kettlebell Up to Elbow Down,,Strength,Abdominals,Kettlebells,Intermediate,,
FYR2 Double-Kettlebell Ski,,Strength,Abdominals,Kettlebells,Intermediate,,
FYR2 Kettlebell Hike,,Strength,Abdominals,Kettlebells,Intermediate,,
FYR2 Kettlebell Cross-Body Catch,,Strength,Abdominals,Kettlebells,Intermediate,,
FYR2 Kettlebell Duck Walk,,Strength,Abdominals,Kettlebells,Intermediate,,
FYR2 Kettlebell Get-Up Reach,,Strength,Abdominals,Kettlebells,Intermediate,,
FYR2 Kettlebell Juggle,,Strength,Abdominals,Kettlebells,Intermediate,,
FYR2 Squat-Clean-Alternating-Press Complex,,Strength,Abdominals,Kettlebells,Intermediate,,
Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Dumbbell Sprawl,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Alternating Renegade Row,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Dumbbell Mountain Climber,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Dumbbell Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Dumbbell Pull-Over,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Dumbbell Sit-Up,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Dumbbell Front Squat,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Fix Full Man Maker,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,
Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,,
HM Alternating Dumbbell Plank Row,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Intermediate,,
Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,,
30 Hanging Leg Raise With Dumbbell,,Strength,Abdominals,Dumbbell,Intermediate,,
Dumbbell Get-Up Sit-Up,,Strength,Abdominals,Dumbbell,Expert,,
Holman Right Side Plank with Left Triceps Press,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Left Side Plank with Right Triceps Press,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Boat with Feet Push-Out and Overhead Press,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Hovering Plank Row,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Weighted Seated Killer Abs to Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Straight Plank Dumbbell Reach-Under,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Straight-Arm Side Plank Overhead Press to Chest Press,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Weighted Burpee to Pike,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Straight-Legged Boat Chest Press,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Weighted Burpee to Side Delt Raise,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Heavy Double Pike,,Strength,Abdominals,Dumbbell,Intermediate,,
Holman Heavy Double Split Pike,,Strength,Abdominals,Dumbbell,Intermediate,,
MetaBurn Alternating Dumbbell Sit-Through,,Strength,Abdominals,Dumbbell,Intermediate,,
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,,Strength,Abdominals,Dumbbell,Intermediate,,
MetaBurn Alternating Plank Row With Push-Up,,Strength,Abdominals,Dumbbell,Intermediate,,
MetaBurn Dumbbell Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,
MetaBurn Dumbbell Toe-Touch,,Strength,Abdominals,Dumbbell,Intermediate,,
MetaBurn Plank To Alternating Row,,Strength,Abdominals,Dumbbell,Intermediate,,
Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Strength,Abdominals,Dumbbell,Intermediate,,
MetaBurn Plank With Dumbbell Rotation,,Strength,Abdominals,Dumbbell,Intermediate,,
FYR2 Dumbbell Crab Reach,,Strength,Abdominals,Dumbbell,Intermediate,,
FYR2 Dumbbell Man-Maker,,Strength,Abdominals,Dumbbell,Intermediate,,
FYR2 Dumbbell Sit-Up Reach,,Strength,Abdominals,Dumbbell,Intermediate,,
FYR2 Loaded Beast Sprawl,,Strength,Abdominals,Dumbbell,Intermediate,,
FYR2 Loaded to Unloaded Beast,,Strength,Abdominals,Dumbbell,Intermediate,,
Lying Leg Pullover,,Strength,Abdominals,Dumbbell,Intermediate,,
FYR Rope Jumping,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance.",Strength,Abdominals,Other,Intermediate,,
Barbell press sit-up,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate.",Strength,Abdominals,Other,Intermediate,,
Single-arm bent-over rear delt fly,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout.",Strength,Abdominals,Other,Intermediate,,
Captain's chair leg raise,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Other,Intermediate,,
Shoulder-Elevated One-Leg Hip Thrusts,,Strength,Abdominals,Other,Intermediate,,
Ab Twist - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Other,Intermediate,,
Weighted Crunch - Gethin Variation,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,Other,Intermediate,,
Ab Wheel Roll-Out - Gethin Variation,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,Other,Intermediate,,
Bench crunch,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Abdominals,Other,Intermediate,,
Decline plate sit-up twist,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Other,Intermediate,,
Reverse ab roll-out,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion.",Strength,Abdominals,Other,Intermediate,,
30 Seated Twist With PVC Pipe,The seated bar twist is a core exercise aiming to strengthen the obliques.,Strength,Abdominals,Other,Intermediate,,
Suspended crunch-,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles.",Strength,Abdominals,Other,Intermediate,,
Suspended oblique crunch,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles.",Strength,Abdominals,Other,Intermediate,,
Weighted sit-up,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs.",Strength,Abdominals,Other,Intermediate,,
30 Decline Press Sit-Up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,Strength,Abdominals,Other,Intermediate,,
Holman Towel Reverse Plank Alternating Heel Pull-in,,Strength,Abdominals,Other,Intermediate,,
Holman Boat with Weighted Cross Punch,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Hook Punch,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Traveling Punch,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Uppercut Punch,,Strength,Abdominals,Other,Intermediate,,
Holman Slow Weighted Double Pike,,Strength,Abdominals,Other,Intermediate,,
Holman Plate Straight Plank Reach,,Strength,Abdominals,Other,Intermediate,,
Holman Plate Elbow Plank Jack to Straight Plank Jack,,Strength,Abdominals,Other,Intermediate,,
Holman Plate Hill Climber,,Strength,Abdominals,Other,Intermediate,,
Holman Plate Reverse Plank Hill Climber,,Strength,Abdominals,Other,Intermediate,,
Holman Plate Straight Plank Pike to Jack,,Strength,Abdominals,Other,Intermediate,,
Holman Plate In-and-Out Push-Up,,Strength,Abdominals,Other,Intermediate,,
Holman Plate Burpee,,Strength,Abdominals,Other,Intermediate,,
Holman Plate Elbow Plank Reach,,Strength,Abdominals,Other,Intermediate,,
Holman Elbow Plank to Renegade Row,,Strength,Abdominals,Other,Intermediate,,
Holman Straight Plank Weighted Hand Hill Climber,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Left Side Diagonal Pike,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Right Side Diagonal Pike,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted W-Boat to Overhead Press,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Kneeling Lift,,Strength,Abdominals,Other,Intermediate,,
Holman Hips-Up Weighted Pull-Over,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Cross Punch,,Strength,Abdominals,Other,Intermediate,,
Holman Straight-Leg Boat Hover Chest Press,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Pike,,Strength,Abdominals,Other,Intermediate,,
Holman Feet-Elevated Wax-On Wax-Off,,Strength,Abdominals,Other,Intermediate,,
Holman Elbow Plank to Towel Pike,,Strength,Abdominals,Other,Intermediate,,
Holman Seated Killer Abs Overhead Press,,Strength,Abdominals,Other,Intermediate,,
Holman Straight Plank Alternating Weighted Open,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Killer Abs with Overhead Press,,Strength,Abdominals,Other,Intermediate,,
Holman Weighted Split-Leg Pike,,Strength,Abdominals,Other,Intermediate,,
Holman Towel Reverse Plank Heel Pull-in,,Strength,Abdominals,Other,Intermediate,,
Stick Twist,,Strength,Abdominals,Other,Intermediate,,
Roc Everest,,Cardio,Abdominals,Other,Intermediate,,
Exercise Ball Cable Crunch - Gethin Variation,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Cable,Intermediate,,
Standing cable high-to-low twist,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Cable,Intermediate,,
Bent-Over Reverse Cable Fly,,Strength,Abdominals,Cable,Intermediate,,
Standing Cable Crunch - Gethin Variation,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,,
AM Cable Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,,
Tyler Holt Weighted Knee-To-Chest Crunch,,Strength,Abdominals,Cable,Intermediate,,
Standing cable twist,"The standing cable twist is a core exercise that targets the abdominals, particularly the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.",Strength,Abdominals,Cable,Intermediate,,
30 Cable Rope Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,,
30 Cable Rope Oblique Crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Cable,Intermediate,,
Cable lying twist on ball,The cable lying twist on ball is an exercise targeting the core and obliques with the added challenge of stability to keep from losing position on the unstable surface.,Strength,Abdominals,Cable,Intermediate,,
30 Cable Pallof Press,"The pallof press is an anti-rotation, isometric exercise that trains core stability. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements.",Strength,Abdominals,Cable,Intermediate,,
30 Cable Reverse Crunch On Ball,"The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys, which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor.",Strength,Abdominals,Cable,Intermediate,,
30 Cable Reverse Crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Strength,Abdominals,Cable,Intermediate,,
Tyler Holt Cable Torso Twist,,Strength,Abdominals,Cable,Intermediate,,
Single-Arm Cable Outward-Facing Biceps Curl,The single-arm cable outward-facing biceps curl is a cable exercise that targets the biceps. It is performed standing in front of a cable machine facing away from the cable stack to increase the range of motion by fully extending the elbows. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.,Strength,Abdominals,Cable,Intermediate,,
Biceps Rope Curl,,Strength,Abdominals,Cable,Intermediate,,
Kneeling Cable Crunches,,Strength,Abdominals,Cable,Intermediate,,
Machine crunch,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down against a pre-set level of resistance. On some machines, the knees also curl up toward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Machine,Intermediate,,
AM Ab Machine,,Strength,Abdominals,Machine,Intermediate,,
Smith machine V-up,The smith machine V-up is a weighted abdominal exercise that involves pressing a weighted bar upward while performing a V-up. Performing it in a Smith machine eliminates the balance challenge of a free weight. It is usually performed for moderate to high reps in the ab-focused portion of a workout.,Strength,Abdominals,Machine,Intermediate,,
Jump Lunge,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout.",Strength,Abdominals,Body Only,Intermediate,,
Side plank hip dip,"The side plank hip dip is a dynamic version of the side plank exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It can be performed for time or reps and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Elbow plank jack,"The elbow plank jack is an isometric abdominal exercise with a dynamic lower-body component. It targets the muscles of the core, the deep core or transversus abdominis in particular. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Exercise ball V-up,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",Strength,Abdominals,Body Only,Intermediate,,
Standing torso twist stretch,"The standing torso twist stretch is a stretching exercise targeting the lats and core, particularly the obliques. It’s great before a workout or any sporting event that involves a lot of twisting of the upper body.",Strength,Abdominals,Body Only,Intermediate,,
Slalom jumps,"The slalom jump is an explosive bodyweight exercise that targets the lower body, including the quads, glutes, and hamstrings. Performed for reps, it also provides a serious cardiovascular challenge. It can be performed for time or reps and is especially effective in a fat-loss or athleticism-focused circuit or workout.",Plyometrics,Abdominals,Body Only,Intermediate,,
Bear crawl,"The bear crawl is a popular bodyweight crawling exercise. While it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strength,Abdominals,Body Only,Intermediate,,
Crab single-arm reach,"The crab single-arm reach is a full-body exercise that requires maintaining a tabletop position while alternating arm raises. It is an excellent movement to include in a dynamic warm-up, a bodyweight circuit, or for muscle activation or mobility anytime.",Stretching,Abdominals,Body Only,Intermediate,,
Side lunge cross-body heel-touch,"The side lunge cross-body heel-touch is a lower-body exercise targeting the quads, glutes, and hamstrings. The heel-touch adds a slight rotational challenge.",Strength,Abdominals,Body Only,Intermediate,,
Alligator Crawl,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strength,Abdominals,Body Only,Intermediate,,
Lying cross-over lower back stretch,"The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back, hips, and torso. It involves rotating the legs while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.",Strength,Abdominals,Body Only,Intermediate,,
Half bird dog,"The half bird dog is a core exercise designed to strengthen the posterior chain. In the half bird dog, you will raise one arm or one leg at a time, rather than both at once as you would for a regular bird dog.",Stretching,Abdominals,Body Only,Intermediate,,
Shoulder tap,"The shoulder tap is an exercise targeting the abdominals and core. The basic stance matches the top of a push-up position. From there, one hand is raised to tap its opposing shoulder. A tap with each hand to each opposing shoulder equals one rep.",Strength,Abdominals,Body Only,Intermediate,,
Double crunch,"The double crunch is a bodyweight exercise focused on the muscles of the core, the rectus abdominis or ""six-pack"" muscles in particular. It's a very simple exercise that involves ""crunching"" the knees and elbows toward each other using the abdominal muscles, while keeping the back flat against the ground.",Strength,Abdominals,Body Only,Intermediate,,
Flutter kick,"The flutter kick is a core exercise where the legs are held off the ground as you flutter your feet over and under each other in small motions. It targets multiple muscles of the core, but particularly the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Sprawl,"The sprawl is an explosive bodyweight exercise that targets the core, upper body, and lower body. It is similar to a burpee, but without a jump at the top and with a plank instead of a push-up at the bottom. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",Strength,Abdominals,Body Only,Intermediate,,
Spider plank jack,"The spider plank jack is a bodyweight core exercise that begins in a straight-arm plank, then combines a spider crunch and a plank jack into a single sequence. It can be performed as bodyweight core training or for conditioning in a fat-loss or athleticism-focused circuit.",Strength,Abdominals,Body Only,Intermediate,,
Pillar-To-Plank,,Strength,Abdominals,Body Only,Intermediate,,
Alternating High Knee Raise,,Strength,Abdominals,Body Only,Intermediate,,
Sumo Squat Pulse,,Strength,Abdominals,Body Only,Intermediate,,
Line-Drill Foot Work,,Strength,Abdominals,Body Only,Intermediate,,
Plank Fire Hydrants,,Strength,Abdominals,Body Only,Intermediate,,
Banded jumping jack,"The banded jumping jack takes a classic plyometric exercise and adds an extra degree of difficulty in the form of a band surrounding the thighs, just above the knees. It can be performed for time or reps and is a great way to warm up for athletics or lower-body lifting.",Strength,Abdominals,Body Only,Intermediate,,
Shin hug,"The shin hug is a bodyweight exercise focused on the muscles of the core. It shares characteristics with V-ups and crunches, but finishes with the ribs touching the thighs. It can be performed for time or for reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
FYR Bear Crawl Fire Feet,"Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.",Strength,Abdominals,Body Only,Intermediate,,
